,LizAtlas.L_BF_ch1-3,LizAtlas.L_BF_ch4,LizAtlas.L_CMA,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL,L_Amy_BL_Complex,R_Amy_BL_Complex,L_Amy_CEN_Complex,R_Amy_CEN_Complex,LizAtlas.R_dPut,LizAtlas.L_dPut,LizAtlas.L_vPut,LizAtlas.R_vPut
LizAtlas.L_BF_ch1-3,,9.901385219292813e-05,0.06988853447933853,0.694680669660835,0.0021608140445434202,0.00011405177084166941,0.9159339573198024,0.0012022841419276186,0.23309846721541513,0.7200886103501516,0.170298778933571,1.1841434736424261e-10,0.0009325725117767993,0.3570580206770964,0.11883425185065574,0.02497870798454645,0.0090732573163362,0.6923598792270713,0.005442558100389584,0.013862303157504904,0.38523512697537643,0.7153445057431239,0.018107158231698166,0.033786443310421854,0.00016160647569847633,0.0001587989474161092,0.9159339573198024,0.9459099444792389,0.33654698892478185,0.2418498882922235
LizAtlas.L_BF_ch4,9.901385219292813e-05,,0.00371610488638623,0.08337527898572825,0.00044719298947978675,3.5995499659707974e-05,0.44284476066834416,0.19838292285824155,0.00436113869960097,0.3147663504210179,0.9185491862869491,0.0024512709624270445,2.0386838432674056e-09,0.06050504030489995,0.020115774259378143,0.0024332129383804993,0.001652363908736448,0.19891435403450508,0.9564579928737225,0.010381679876365443,0.7701526924681292,0.038756914594566066,6.850362294556191e-06,5.930594639246152e-05,7.592365136210618e-12,6.224143179933714e-08,0.000304413619670033,0.00034340962656086816,5.297733547994646e-06,2.3490831807667947e-07
LizAtlas.L_CMA,0.06988853447933853,0.00371610488638623,,0.08692885358338824,4.679848834679718e-11,0.1444711158797776,8.232551933189643e-06,0.7331628832570602,4.1485660504926954e-10,0.14239204529614347,0.057999302749478204,0.48299315738644366,0.03760988825710964,1.9473393875621368e-13,0.9396425881566782,3.2301795621153458e-06,0.3152944159593276,2.874777334787992e-06,0.7975390206333645,1.9473393875621368e-13,0.7665650871616976,0.1154417189809464,0.00015434503271206565,0.0043594017701411615,0.00016234128488942052,0.0009625618541401743,0.005361290997683222,0.001652363908736448,0.0002953606600793986,6.917067639664147e-05
LizAtlas.L_GPi,0.694680669660835,0.08337527898572825,0.08692885358338824,,0.21757787163229955,0.036575337083517796,0.076683409121135,0.7049991112315644,0.03206194280475003,0.44284476066834416,0.2568264940236139,0.18200166873690193,0.22087289508774302,0.13206479791441353,0.0005955135627547649,0.9989340481520589,0.5396615300802907,0.22087289508774302,0.9841123292618789,0.19858710382960237,0.9420837787012903,0.16721121377537881,0.7681540043612675,0.25243477341363557,0.16786642190420062,0.5885511139003995,0.7081873708503302,0.44859967922161703,0.03558659819686822,0.3591596848603553
LizAtlas.L_M1_ul,0.0021608140445434202,0.00044719298947978675,4.679848834679718e-11,0.21757787163229955,,0.17921907822529493,1.2096996068457445e-05,0.99238994034602,2.2443023452071085e-12,0.6366557940129015,0.010715381596384438,0.5377810573383565,0.12610766844896554,1.194566364574355e-07,0.22579584718382448,1.1877904202874226e-10,0.9799694136004311,0.0009823972405757582,0.17273265292235324,4.679848834679718e-11,0.8656947592788843,0.18570746267407348,0.006492520405597381,0.009543660371887076,5.263348120222514e-07,0.00010050403118891728,0.008706970989245704,0.00044719298947978675,0.018476384615758797,0.05676411679797141
LizAtlas.L_NAc,0.00011405177084166941,3.5995499659707974e-05,0.1444711158797776,0.036575337083517796,0.17921907822529493,,0.4223549441742979,0.00011266876882620736,0.44284476066834416,0.729911720963449,0.24671453193728946,0.001652363908736448,0.00013445990479812192,0.02709758217297777,0.001652363908736448,0.26364648463469426,2.40655969169399e-09,0.3703266656866396,0.10034871639293164,0.0609991361163031,0.712436072019533,0.2947228194669684,0.18570746267407348,0.07768940395950759,0.036062273432003224,0.13196449258531476,0.016450308366690845,0.06050504030489995,8.460724406485636e-10,3.132752515027061e-11
LizAtlas.L_PMd,0.9159339573198024,0.44284476066834416,8.232551933189643e-06,0.076683409121135,1.2096996068457445e-05,0.4223549441742979,,1.4805977842182752e-08,3.054654152687402e-06,0.9159339573198024,0.003777161638018132,0.3157088271486904,0.5998129720534281,0.0008294041740800518,0.38184355738360315,8.954934986214284e-05,0.2585392341175632,1.6359229583931238e-11,0.002152283426750632,1.5915539512788662e-06,0.7064266903692692,0.029279938197221366,0.8228259164665104,0.4309046002161489,0.9159339573198024,0.9963105234087173,0.14645593068002408,0.0033284947775136164,0.005671624396147511,0.20729701802840733
LizAtlas.L_PMv,0.0012022841419276186,0.19838292285824155,0.7331628832570602,0.7049991112315644,0.99238994034602,0.00011266876882620736,1.4805977842182752e-08,,0.8635393470813116,0.1374386319025981,0.009531653365714423,8.954934986214284e-05,0.17753791162113478,0.015665629581197726,0.2947228194669684,0.01601134246830179,0.06419278570993166,0.030917301311809503,8.257963758631459e-09,0.9395869429200634,0.8269817705902929,0.27375168869489197,0.33766668719962106,0.18570746267407348,0.7794249256932708,0.7975390206333645,0.13718737359906413,0.00500281258862281,0.07009166562211488,0.7081873708503302
LizAtlas.L_SMA,0.23309846721541513,0.00436113869960097,4.1485660504926954e-10,0.03206194280475003,2.2443023452071085e-12,0.44284476066834416,3.054654152687402e-06,0.8635393470813116,,0.9980858470959366,0.022488376766709662,0.8304955716271396,0.14289873609210804,3.764530446984846e-09,0.11062246945897349,3.08641227181226e-08,0.5723352112725663,1.194566364574355e-07,0.08337527898572825,2.4643729992457103e-13,0.6817877496785149,0.035133453838641915,0.12340269993634394,0.07923247075791491,0.00044719298947978675,0.0004037247445260387,0.0002953606600793986,2.09832218164299e-05,0.002698923054775576,0.0010055399174150003
LizAtlas.L_STN,0.7200886103501516,0.3147663504210179,0.14239204529614347,0.44284476066834416,0.6366557940129015,0.729911720963449,0.9159339573198024,0.1374386319025981,0.9980858470959366,,0.04059253523597626,0.5292282638239445,0.7992399777858665,0.1305125538768296,0.18200166873690193,0.18570746267407348,0.8051093595266868,0.1864525780928936,0.4808064636711733,0.9395098681389397,0.07923247075791491,0.11537901190211461,0.4643072572310968,0.48959257950431234,0.6939945655379917,0.445753606575623,0.25990439451726843,0.7417988595561041,0.9038844662526171,0.975001050170917
