,LizAtlas.L_BF_ch1-3,LizAtlas.L_BF_ch4,LizAtlas.L_CMA,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL,L_Amy_BL_Complex,R_Amy_BL_Complex,L_Amy_CEN_Complex,R_Amy_CEN_Complex,LizAtlas.R_dPut,LizAtlas.L_dPut,LizAtlas.L_vPut,LizAtlas.R_vPut
LizAtlas.L_BF_ch1-3,,5.225671305911113,2.245887343525694,0.5393410468558701,3.903316671775361,5.1579582124976575,-0.17112735127291767,-4.15549132833856,1.479517250605349,-0.4886388065054941,-1.7104259857181077,11.676293812462825,4.268956025743791,1.1525006510678901,1.940466754835133,2.7866694161794756,3.266371608277443,0.549303309033744,-3.4927897683611935,3.069369850305981,1.0782506094741549,-0.499303779209718,2.9395399366207755,2.635588732891059,5.0044673019721975,5.015612573468844,-0.17281938666413232,-0.10991160718549164,1.2059708650165213,1.4544776700047108
LizAtlas.L_BF_ch4,5.225671305911114,,3.664366208080185,2.1353780325167406,4.568952305676668,5.653548565231954,-0.9690396597364502,-1.5955820322557368,3.59052360022955,-1.2618253019325472,-0.16253638869006357,3.8455819544593184,10.10892880374138,2.320730620270049,2.8875074663127087,3.851635753802317,4.019428983910911,-1.586019833443306,-0.09416244166858576,3.199003806178679,0.4098215704188675,-2.552606146923685,6.320473495325241,5.454764685855123,13.450856615903298,8.440300992841161,4.74229746691864,4.6931880978568286,6.425978889944331,7.794261895022164
LizAtlas.L_CMA,2.2458873435256943,3.6643662080801853,,2.1089630723915525,12.192938191212127,1.8083669039707122,6.237069895508559,-0.4675828606460855,10.96261070039021,-1.819953635040552,2.346632695697917,0.8846443509597778,2.570313209761318,16.655955746372328,0.12678796127323927,6.638309109000586,1.2587552784340106,6.72954790808957,0.36647299180905735,16.454076711975375,-0.41910618319815257,1.9590587630758274,5.030882233953998,3.593684429610006,4.998212874662731,4.253402062428435,3.5015779100924918,4.0234638359599435,4.757832177905049,5.391591772645505
LizAtlas.L_GPi,0.5393410468558699,2.13537803251674,2.108963072391553,,1.5324381828401556,2.5870900528507126,2.1918085612522584,-0.5240544303648397,2.660437845047002,0.9669207749064095,1.4117449620037772,1.6574321644258219,1.5199219625325058,1.87286700725345,4.451770282418558,0.0013483976565250102,0.7916741507304118,1.5197611612171393,-0.04587009087025328,1.5909584861158268,-0.12005894090217772,1.7243287268704481,-0.41471632225153043,-1.4257921152725217,1.7200864671353882,0.7046263921346974,0.512984058314986,0.9518872694663283,2.606049812373531,1.1442623387065414
LizAtlas.L_M1_ul,3.903316671775361,4.568952305676668,12.192938191212125,1.5324381828401563,,1.670895952875322,6.0777466172824095,-0.02694496326637669,14.40960620452407,-0.629666350216001,3.1836563430537215,0.7964864089804181,1.9045252952248857,8.110635618942437,1.5015429572047518,11.64532410480609,0.053887534465217365,4.238474719478995,-1.6999344657563435,12.197566062343443,-0.25062484056556994,1.6390951384888264,3.418124948162929,3.2407470673695467,7.437154956793803,5.215028590931396,3.285500455407192,4.566352013258581,2.9286776775700356,2.363173580780502
LizAtlas.L_NAc,5.1579582124976575,5.6535485652319535,1.8083669039707124,2.587090052850713,1.6708959528753227,,1.0101772323872136,-5.1674394837222115,0.9650645253543051,0.47401234809564186,1.4410318508227062,4.018308956266688,5.086970134800117,2.746555719903977,4.024766310095299,1.3863703400551324,9.993947688872883,1.114284635860744,-2.0381239842437235,2.314798916795408,-0.5053052992468073,1.3076203165361335,1.6374897328217626,2.1813304830878586,2.5979359600517484,1.8753762637315512,2.9892241424146504,2.3222781566015787,10.590968925945853,12.478944363022332
LizAtlas.L_PMd,-0.17112735127291745,-0.9690396597364502,6.237069895508559,2.1918085612522593,6.077746617282411,1.0101772323872138,,9.090018934940012,6.689981769233437,0.17601253120305033,3.6550317082520083,-1.2538815180972858,-0.6850453398718976,4.320344787361379,1.0901400649981934,5.271694999688794,1.4058567719479826,12.965949357552462,3.9081333400715357,6.969679336530158,0.5199079372133761,2.7063954898695566,0.3256978246423472,0.9922926544925501,0.17611503080005406,0.01915453405207401,1.7992887887237048,3.709755584622419,3.473819011662558,1.5613099148651717
LizAtlas.L_PMv,-4.1554913283385595,-1.5955820322557375,-0.4675828606460855,-0.5240544303648399,-0.02694496326637683,-5.1674394837222115,9.09001893494001,,0.2558385358515083,1.8442640918342712,3.244017561040988,-5.2682895675780035,-1.6821379441206903,-3.0144189761892557,-1.3067883748449909,3.0028865003649012,-2.2870990809258944,2.6808182239604643,9.379865361647386,0.13145818358426337,0.3156257567986754,1.358181597239812,1.2018437714539436,1.639304317645381,0.39600810883965587,-0.3675325969351846,1.8472994220861694,3.5314141699538473,2.242319498275369,0.5146134285143181
LizAtlas.L_SMA,1.4795172506053484,3.5905236002295497,10.962610700390208,2.660437845047002,14.40960620452407,0.9650645253543052,6.689981769233439,0.25583853585150834,,0.01390845859296142,2.834671493339029,-0.3087842683878082,1.81604997342004,9.769392621373663,1.9886379607594928,8.754741524713264,0.7370111860243693,8.105900292761355,2.134244694989828,16.107699762274887,-0.5649431315363496,2.613967171337005,1.9196170401144843,2.1663475362382307,4.568922719413424,4.6287434387950075,4.759436799874692,5.862856687219235,3.802496807687808,4.22615288880624
LizAtlas.L_STN,-0.4886388065054937,-1.261825301932548,-1.8199536350405516,0.9669207749064097,-0.6296663502160013,0.4740123480956422,0.17601253120305055,1.8442640918342712,0.013908458592961626,,2.5278144061739707,-0.8107485366453301,0.3619124038638076,-1.8852066990016436,1.6564855111899357,-1.638575854012423,-0.34976927819666415,-1.633300866192869,-0.8920949911876288,0.13430924944978936,2.1655905385340537,1.9614880920202833,-0.9253049845316821,-0.8726502195430473,-0.5440087435866671,-0.9584191199519937,1.3989183847735134,0.454469014401018,-0.19648325286470195,-0.06569526560357168
