,LizAtlas.L_BF_ch1-3,LizAtlas.L_BF_ch4,LizAtlas.L_CMA,LizAtlas.L_dPut,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,LizAtlas.L_vPut,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_dPut,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL,LizAtlas.R_vPut,L_Amy_CEN_Complex,R_Amy_CEN_Complex
LizAtlas.L_BF_ch1-3,,0.0006297432350466003,0.10815956464584306,0.9890799959102939,0.8482276266228312,0.008626602688797464,0.00014375593216250663,0.8672822410540613,0.0010090516593836217,0.2753453617850968,0.9242279370488546,0.3784573713154048,0.4068608289053932,4.156618740304101e-11,0.011260959727072164,0.33096033376122885,0.9564865361080602,0.1456037305498923,0.10911863784057245,0.016723994001099,0.8482276266228312,0.0017659372085359329,0.025348927618426904,0.4068608289053932,0.9242279370488546,0.3666052493932697,0.0008250441970838321,0.0002310503426581638
LizAtlas.L_BF_ch4,0.0006297432350466003,,0.059600529240512436,0.0005842718524570046,0.03880406381264832,0.006458165019440892,1.633867011964011e-05,0.3728462765120924,0.02622538101145471,0.012404553410314866,0.5920947836078899,0.49045569558536073,8.235008065499559e-06,0.021140100103703145,1.7043047744397033e-08,0.14906489031535033,0.00048412193050575275,0.022415190656818754,0.017169491378084215,0.0018062626295756495,0.13256821065136634,0.6518422224919418,0.05338131413157545,0.6871236924132942,0.06877135526603784,2.851580955576793e-07,3.981980667332194e-12,3.0709702756605577e-07
LizAtlas.L_CMA,0.10815956464584306,0.059600529240512436,,0.005153493911728021,0.08226061630773693,7.987159512035067e-11,0.34894607744415895,1.0818704957212795e-06,0.701989787116252,5.00360437665373e-10,0.20022191488900715,0.036650036399736144,0.0017659372085359329,0.818922039425544,0.20442479981308548,1.8737198751187025e-13,0.01185048328290186,0.9905341994312329,3.9900641149491345e-06,0.40874945038494404,7.288645887614478e-07,0.9149340101153314,3.3661375549375297e-13,0.9702838451304288,0.08752407455178965,0.0004965628959209653,0.00870152600256544,0.019802146252922922
LizAtlas.L_dPut,0.9890799959102939,0.0005842718524570046,0.005153493911728021,,0.4654447302578204,0.0007311657075324227,0.1009043893543651,0.002952938332207804,0.005215426853059029,4.352821996250461e-05,0.8111817262266926,0.004601784421082322,3.422771127756411e-12,0.3912570168123109,0.03880406381264832,0.08054237976304691,1.886300927733646e-12,0.6573255478777951,0.05314302060736595,0.20442479981308548,0.07324514727730784,0.0316300588391051,0.0008936533363433994,0.7571131373425403,0.13614084394862266,8.57077366217424e-12,0.05871553240429408,0.4854191611306473
LizAtlas.L_GPi,0.8482276266228312,0.03880406381264832,0.08226061630773693,0.4654447302578204,,0.1836111080933132,0.02642674777736906,0.0722812104719323,0.7862864866083068,0.027340995139528076,0.2885388221178527,0.21743973539472555,0.026465026388594704,0.2440076261012844,0.08432199015978066,0.11051357419904098,0.7827508979033894,0.00031131210038932424,0.9890799959102939,0.5500799949796445,0.2625956770053999,0.9301754742436353,0.20442479981308548,0.8320321710328666,0.140010787992476,0.4040458805078152,0.02847861238729379,0.3267465974071478
LizAtlas.L_M1_ul,0.008626602688797464,0.006458165019440892,7.987159512035067e-11,0.0007311657075324227,0.1836111080933132,,0.23545306574468616,5.7122613295407e-06,0.9905341994312329,1.886300927733646e-12,0.818922039425544,0.011167857049061288,0.02846925538404379,0.9706762841609888,0.3537587157917404,1.5120353073221924e-07,0.013703430142028463,0.20442479981308548,6.632707251922216e-11,0.9702838451304288,0.0005238234555770442,0.16710354621067575,3.305156134856551e-11,0.9706762841609888,0.18793793844018425,0.09831909923117406,4.352821996250461e-05,0.0017659372085359329
LizAtlas.L_NAc,0.00014375593216250663,1.633867011964011e-05,0.34894607744415895,0.1009043893543651,0.02642674777736906,0.23545306574468616,,0.4961138368726472,7.138695847526484e-05,0.5197101152575709,0.8210189722553612,0.13614084394862266,2.388798297542186e-09,0.004291264030840936,0.0008988334076902904,0.07324514727730784,0.03387470039443232,0.0010376220640175135,0.5940396708768931,3.171064756012032e-09,0.40830411352116924,0.06462685756873549,0.20602251303539837,0.8864140373512233,0.14076624813837724,8.769170017182256e-11,0.1025626706924541,0.5203418237054134
LizAtlas.L_PMd,0.8672822410540613,0.3728462765120924,1.0818704957212795e-06,0.002952938332207804,0.0722812104719323,5.7122613295407e-06,0.4961138368726472,,7.330893386418771e-09,2.8193804989029827e-06,0.8908235464893826,0.0033092308862677096,0.005698965170880838,0.15362421658704348,0.46528076179586997,0.0004365182527870392,0.08471827882848418,0.2503336397694923,9.16611279972952e-05,0.36939590103749076,8.296280651522985e-12,0.002420867697714292,4.832867543159327e-07,0.5940396708768931,0.02847861238729379,0.18584479298725048,0.8482276266228312,0.9657778208866528
LizAtlas.L_PMv,0.0010090516593836217,0.02622538101145471,0.701989787116252,0.005215426853059029,0.7862864866083068,0.9905341994312329,7.138695847526484e-05,7.330893386418771e-09,,0.9097571952182054,0.19586450367048855,0.0043257563282416344,0.06877135526603784,0.00016808740027957764,0.05131068314682123,0.015696402008088882,0.11398694257668555,0.30067163074388903,0.023132964815661523,0.06877135526603784,0.03368196572394201,7.229823583329119e-09,0.9651718494123301,0.8111817262266926,0.20022191488900715,0.6756970796526341,0.5716830564689119,0.25762273686419856
LizAtlas.L_SMA,0.2753453617850968,0.012404553410314866,5.00360437665373e-10,4.352821996250461e-05,0.027340995139528076,1.886300927733646e-12,0.5197101152575709,2.8193804989029827e-06,0.9097571952182054,,0.917382491116783,0.020652097784009144,0.004307116839614158,0.5449461118181091,0.27930078334175285,4.381260849763024e-09,0.00037491539270976214,0.10048132240431447,2.2948247749008343e-08,0.6783395880090918,1.3165782260745814e-07,0.07692191767515393,5.37161126852265e-13,0.8111817262266926,0.027627881128522474,0.0013358737213086526,0.002632630104144739,0.0030703893529399778
