,LizAtlas.L_BF_ch1-3,LizAtlas.L_BF_ch4,LizAtlas.L_CMA,LizAtlas.L_dPut,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,LizAtlas.L_vPut,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_dPut,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL,LizAtlas.R_vPut,L_Amy_CEN_Complex,R_Amy_CEN_Complex
LizAtlas.L_BF_ch1-3,,4.479497110666884,1.9888357659154765,-0.02705665466522617,0.30295561204976285,3.3211504024053906,5.095263288398126,-0.2729371040202314,-4.275813784586668,1.3695654384419966,-0.16900391302374868,-1.1229915300792936,1.0540041221710137,12.252246476825485,3.205026320982581,1.2273874572331729,-0.11612974570050019,1.799028904109208,1.9820708904886202,3.0090983298410006,0.30370199063190784,-4.0241582390019905,2.800152464157999,1.058012969694292,-0.17284535635936188,1.1507591549854714,4.368668863456733,4.901084310590823
LizAtlas.L_BF_ch4,4.479497110666883,,2.3473796620970884,4.512523918472826,2.5615823235436515,3.4525195789689573,5.969875940180391,-1.13507873313077,-2.779919039830676,3.1595157026061034,-0.7225281919845503,0.8922012374937245,6.268606532459088,2.89091101920821,9.026952065609546,1.7845631601761336,4.603595592248477,2.860510730915174,2.9951786670730423,4.006658585070298,-1.8611216609742287,-0.629085993152011,2.4076208962792047,0.571178136542075,-2.2661284492432987,7.733927847133705,13.801881959440967,7.691748387987748
LizAtlas.L_CMA,1.988835765915477,2.3473796620970884,,3.5586820545403097,2.154785102999643,11.838623982898639,1.189414750626529,7.120889467962128,-0.5468059965652428,10.826687083169725,-1.6021051810516667,2.591733843085025,4.026870568952821,0.36301967819849285,1.5812453431478333,16.657855018884757,3.18121648889878,0.015289377232703884,6.572573478143941,1.0433874400413665,7.2983441100978474,0.19460237793991597,15.999965869775762,-0.07988956591705923,2.1179507758565386,4.588496050912042,3.314258747445094,2.92722023692095
LizAtlas.L_dPut,-0.02705665466522628,4.5125239184728265,3.5586820545403097,,0.9467522090406716,4.41875058251089,2.034909103193325,3.8077601604793987,3.5503113869116665,5.581388618483004,0.37913804939322826,3.606233928744798,13.958864170497794,-1.0964288880182236,2.5615266789131983,2.1672270102307913,14.391232470500425,0.6194452902969995,2.412342101408232,1.5879649337182336,2.221595056687317,2.6745023460916864,4.333908723897752,0.45995422490089566,1.8404792071737182,13.199724022077874,2.361457998234826,0.9070373004847633
LizAtlas.L_GPi,0.3029556120497629,2.5615823235436515,2.154785102999642,0.9467522090406714,,1.6608165984881615,2.77373988713563,2.2331576805806463,-0.4138122592720937,2.7535486673210183,1.3276426853458072,1.5377158946724792,2.7701830689043296,1.458580545616159,2.140607210558347,1.9734078051145667,0.42092496002596325,4.784486654839146,0.03009286281717176,0.7897214478323371,1.4020770343641737,-0.1574801199571643,1.5816209233527545,-0.3387975782205511,1.8238341729946517,1.067907946894451,2.725451929145028,1.237721133098192
LizAtlas.L_M1_ul,3.3211504024053906,3.4525195789689564,11.838623982898639,4.418750582510891,1.6608165984881613,,1.4827855423666834,6.425448074873835,-0.01853559575139235,14.476801959485968,-0.36029302276771313,3.2117903238459458,2.7306639048824666,-0.07128037655285055,1.178342468990919,8.007958338310283,3.1161241176197287,1.5813170404794512,11.969187775821348,-0.08604430728153023,4.558375553610438,-1.7155618232080547,12.414414132727508,-0.07572433795807654,1.6435382214769858,2.0574414102734906,5.579596667825593,4.023584632540083
LizAtlas.L_NAc,5.095263288398126,5.969875940180391,1.1894147506265291,2.034909103193325,2.7737398871356285,1.4827855423666834,,0.8814268625245409,-5.387723540211451,0.8448958092323546,0.3548610586638962,1.8410987477868423,10.031511149027835,3.6446777773564847,4.326918855042684,2.222042475067553,2.6339316225546794,4.249875349873387,0.7147649016596294,9.87820352695824,1.046502358151159,-2.3026699066184144,1.5746101185030252,-0.24100281748822383,1.8187086348929085,11.75878667794161,2.0220653971603317,0.8414928715178912
LizAtlas.L_PMd,-0.2729371040202317,-1.135078733130769,7.120889467962128,3.8077601604793987,2.2331576805806463,6.425448074873835,0.8814268625245407,,9.419376343585048,6.716295306571575,0.22961277974479602,3.752244191971358,3.5085102001294377,-1.7666117427041568,-0.9494632476435367,4.647576648377274,2.1358695065129187,1.4391865929932384,5.281486302041964,1.1434799641402338,13.267004836585048,3.8915643054647058,7.490819889065577,0.7166798277349216,2.724771430075667,1.6519444132178516,-0.2987156618101318,-0.09839771645421197
LizAtlas.L_PMv,-4.275813784586666,-2.7799190398306757,-0.5468059965652428,3.5503113869116665,-0.41381225927209353,-0.018535595751391968,-5.387723540211451,9.419376343585048,,0.2038996333267086,1.6188462071908172,3.6338900592503696,2.263593519614141,-5.025232096354382,-2.430688706998822,-3.0446051535355814,1.9484984413396929,-1.3004888988463468,2.8413423839858276,-2.270205328337879,2.6391717104711865,9.443310414167037,0.10238046529046252,0.37536678225531134,1.6039032384329899,0.5936032420618718,-0.7576390889574897,-1.417898055983683
LizAtlas.L_SMA,1.3695654384419969,3.1595157026061043,10.826687083169729,5.581388618483004,2.753548667321017,14.476801959485963,0.8448958092323546,6.716295306571575,0.20389963332670866,,0.18729397672901463,2.9036537165270806,3.639387091416155,-0.7993651489405622,1.3583516421299915,9.70889146716307,4.709718468889293,2.039430955614442,8.880612412096015,0.5875841074702378,8.088011144525268,2.1938084826211925,15.371728105092187,-0.37723454569481923,2.746231800008019,4.146082238165071,3.855574960609577,3.784838890528686
