,LizAtlas.L_BF_ch1-3,LizAtlas.L_BF_ch4,LizAtlas.L_CMA,LizAtlas.L_dPut,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,LizAtlas.L_vPut,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_dPut,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL,LizAtlas.R_vPut,L_Amy_BL_Complex,R_Amy_BL_Complex
LizAtlas.L_BF_ch1-3,,0.018776153305579742,0.3252074401679984,0.8413554784866637,0.82876016687536,0.03400461392451632,0.0004889688181138671,0.899234713727681,0.0009960972622180613,0.746780295777216,0.8780612223655931,0.7104361546101366,0.7866161963101614,5.7647177534616686e-11,0.1853007884086783,0.5708485172399509,0.825626588491445,0.2950470120611255,0.3113292974942115,0.018768384991935318,0.6765491941055526,0.004341924858057347,0.0745661261229877,0.44186831578723784,0.9338525418170001,0.5771981045750795,0.917538921452035,0.7866161963101614
LizAtlas.L_BF_ch4,0.018776153305579742,,0.7242431270908909,0.0023674817307267454,0.1318960472893891,0.2384064675891666,0.0003792243994170969,0.38011750369429437,0.11739917606666758,0.30030082104449257,0.4511427777776139,0.21286949899966762,3.6646423112827016e-05,0.2914843166802981,1.28149924026983e-06,0.7515567474754036,0.0014055192442044785,0.1955873268855075,0.7932978330452491,0.019638646885530145,0.3252074401679984,0.875286982371552,0.7866161963101614,0.7866161963101614,0.1750075246779449,3.472460419765783e-06,0.875286982371552,0.7910931173930883
LizAtlas.L_CMA,0.3252074401679984,0.7242431270908909,,0.0068894507861405885,0.16157112859246,5.46461050920603e-11,0.4582648098104993,5.38474475824526e-06,0.8216493900737751,6.101434057070493e-10,0.2617868863044068,0.0316671079245996,0.0028276769498872937,0.8413554784866637,0.9829724777555238,1.54117569317864e-13,0.020078272325943676,0.8035357915777483,6.683492512969852e-06,0.5996136756381485,1.5766059124369633e-06,0.82876016687536,1.54117569317864e-13,0.7866161963101614,0.07605925717890756,0.0011735215546979033,0.36149239846025644,0.6245673072977718
LizAtlas.L_dPut,0.8413554784866637,0.0023674817307267454,0.0068894507861405885,,0.5825936789678536,0.001453404378328712,0.11278398565623426,0.003622343148688716,0.010376773144530903,5.226674032268858e-05,0.8998244424266795,0.00735391845491885,4.622102728553927e-12,0.18808105909469988,0.0808217246456659,0.08478677494789574,2.0598793601131953e-12,0.7515567474754036,0.09000155628662541,0.31714669218379166,0.08478677494789574,0.020397401619807857,0.0012870820828496771,0.8521092104191628,0.18589507991394144,1.2115363001287865e-11,0.9726669126333977,0.8780612223655931
LizAtlas.L_GPi,0.82876016687536,0.1318960472893891,0.16157112859246,0.5825936789678536,,0.2939265784946436,0.05836558307114544,0.12112518533566227,0.875286982371552,0.09263152002471298,0.37815844876951554,0.25165390431752344,0.052520992222126896,0.461052411340259,0.5751601169072109,0.25165390431752344,0.7937837819745241,0.0005996372274187517,0.7992913477970617,0.6627200598563789,0.3219008918523473,0.9292790950418396,0.5011369481152639,0.9338525418170001,0.17196551491219486,0.5224511554272332,0.2529661268045565,0.051926425514190314
LizAtlas.L_M1_ul,0.03400461392451632,0.2384064675891666,5.46461050920603e-11,0.001453404378328712,0.2939265784946436,,0.4345065194233773,6.683492512969852e-06,0.929785516605381,5.006712854569166e-12,0.8216493900737751,0.007708217483676516,0.05239223307548808,0.60934020765253,0.7937837819745241,2.0780312286496177e-07,0.018775858340988393,0.5011369481152639,1.1179690780169868e-10,0.8531294988480436,0.0005798942185093993,0.25165390431752344,5.46461050920603e-11,0.8565477948874516,0.1691308053236285,0.1890690600052248,0.6482298926564837,0.7006490530414624
LizAtlas.L_NAc,0.0004889688181138671,0.0003792243994170969,0.4582648098104993,0.11278398565623426,0.05836558307114544,0.4345065194233773,,0.3860843491389477,0.00014117624146182142,0.8424337513983376,0.875286982371552,0.16157112859246,8.846680667126342e-09,0.003974183009512612,0.006643956742903639,0.08650666353568028,0.030886828903808086,0.008537542213615966,0.6838894041779547,3.3672205718910173e-09,0.19285023983119773,0.08121392248923309,0.27688464029221654,0.8565477948874516,0.14403985033637942,4.997308285733322e-10,0.82876016687536,0.31714669218379166
LizAtlas.L_PMd,0.899234713727681,0.38011750369429437,5.38474475824526e-06,0.003622343148688716,0.12112518533566227,6.683492512969852e-06,0.3860843491389477,,8.846680667126342e-09,1.993376754902434e-06,0.8689979022804641,0.004341924858057347,0.0063556258022233825,0.2862073550710867,0.4583235179902481,0.0012662179492183337,0.1153834211880249,0.2733879442563532,9.761432794269345e-05,0.4154645112505493,9.356991593148404e-12,0.004182207520750826,9.039444339022868e-07,0.746780295777216,0.05520625650494632,0.23455813398993078,0.875286982371552,0.5011369481152639
LizAtlas.L_PMv,0.0009960972622180613,0.11739917606666758,0.8216493900737751,0.010376773144530903,0.875286982371552,0.929785516605381,0.00014117624146182142,8.846680667126342e-09,,0.7992913477970617,0.23409558570743905,0.014249020811001581,0.08001814778884567,7.247871334729015e-05,0.13544207455538723,0.02580112591355093,0.18056129288100517,0.3252074401679984,0.017817528409423716,0.07060517047059815,0.03400461392451632,8.846680667126342e-09,0.875697388705178,0.875286982371552,0.3307804623176425,0.7583098935125647,0.2912081857925767,0.15618902168339535
LizAtlas.L_SMA,0.746780295777216,0.30030082104449257,6.101434057070493e-10,5.226674032268858e-05,0.09263152002471298,5.006712854569166e-12,0.8424337513983376,1.993376754902434e-06,0.7992913477970617,,0.8998244424266795,0.008627800802976825,0.00735391845491885,0.1890690600052248,0.8565477948874516,4.259612344346722e-09,0.0007072669394108799,0.2632339800144079,5.579290677627523e-08,0.875286982371552,7.648660241077597e-08,0.0989437968068217,3.185959487865826e-13,0.7483893298908103,0.019898377543305385,0.005026782234642407,0.8565477948874516,0.7992913477970617
