,LizAtlas.L_BF_ch1-3,LizAtlas.L_BF_ch4,LizAtlas.L_CMA,LizAtlas.L_dPut,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,LizAtlas.L_vPut,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_dPut,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL,LizAtlas.R_vPut,L_Amy_BL_Complex,R_Amy_BL_Complex
LizAtlas.L_BF_ch1-3,,3.051157573271234,1.3575911224504067,-0.3545315816011848,0.37232379235856417,2.756824781648702,4.684321159067144,-0.1826798444295047,-4.374347147658684,0.5750339714233353,-0.22073804542389217,-0.6332666704376114,0.4836284313047572,12.079077273301888,1.8042747299685118,0.874372712970455,-0.38492090938955714,1.4448294111162523,1.4081763879965548,3.0593516625747856,0.6933880779799169,-3.7416725157545874,2.3517057862611375,1.1205006980609642,0.10429208898452132,0.8578223141337794,0.14699552313450004,0.4866694021341377
LizAtlas.L_BF_ch4,3.051157573271235,,0.6084527533739688,4.003558353848846,2.0170354167682962,1.6178893413737152,4.785728705321803,-1.2410707308300204,-2.0793724588281304,1.4318719045822481,-1.1041326821197506,1.7020218375357443,5.726468884769587,1.4630604210027254,7.152083979388177,0.5592994377314622,4.222015708406382,1.7493868574799896,0.4699088212175401,3.02896138402792,-1.3609008408939798,0.24053998963966858,0.48721952376343086,0.48449621363926826,-1.842614624019526,6.692235915466924,0.24285186343312257,-0.47541369056338545
LizAtlas.L_CMA,1.3575911224504067,0.6084527533739686,,3.544107590070018,1.8921202734864664,12.156587347086624,1.091031365556097,6.511938578062461,-0.3925279961981519,10.756197786909736,-1.5463437236844648,2.7936809496595854,3.9309472305671385,-0.3516380150678729,0.02483145238239273,16.747226496443094,3.012126531909243,-0.4225214203378708,6.4104311836973915,0.8236703438298566,7.0576392896203615,0.37413085885379754,16.516601196665253,-0.5067097918331,2.3393770480533087,4.307049360290604,1.2830117154155682,0.7732023864156734
LizAtlas.L_dPut,-0.3545315816011846,4.003558353848845,3.5441075900700176,,0.8481550885436214,4.203800776596575,2.111159086675042,3.831511469208227,3.338051167557985,5.584759480151329,0.1770077879119379,3.5081573478049344,13.861364801757968,-1.7845175563554916,2.301789948611037,2.2700230392859,14.430935758249067,0.5608251283302037,2.2328163351502934,1.388971691548479,2.2717987665258286,3.0011140468856823,4.260747808660622,0.32704068236967515,1.7965560729704122,13.05478686680167,0.04435565317078562,-0.22127510213211518
LizAtlas.L_GPi,0.3723237923585643,2.0170354167682967,1.892120273486466,0.8481550885436215,,1.4498172389924886,2.4918519538784896,2.0612722074759575,-0.2486114760805681,2.2130615855823903,1.2470369572220104,1.5791191090560484,2.548676296746184,1.0813252798421837,0.8632332780188577,1.576777475315306,0.45452164686820856,4.588574893565013,-0.43992062872566473,0.7155954553373008,1.3718952226410512,0.11772955399069268,0.9970382035521242,-0.10261169218461687,1.8545757986193294,0.954496159037907,-1.5695377420367969,-2.560865967791591
LizAtlas.L_M1_ul,2.756824781648701,1.6178893413737152,12.156587347086619,4.203800776596574,1.4498172389924884,,1.1397958205722214,6.409289582559929,0.11396659711387512,13.669360159687638,-0.3928025596867182,3.476907042116842,2.5533519745436415,-0.8061801783576761,-0.45756863857959945,7.94420961830217,3.055158199696162,0.992663457109274,11.698033769087479,-0.32049087672597754,4.6075236644545,-1.5811612641926625,12.14641772832569,-0.30517228022659143,1.8660565191606857,1.7749817721847767,0.7358515527743982,0.6592926313942938
LizAtlas.L_NAc,4.684321159067144,4.785728705321804,1.091031365556097,2.111159086675041,2.4918519538784896,1.139795820572221,,1.2286306954574424,-5.160919455124448,0.3447882547247307,0.23637071437110108,1.8947312640678975,9.401637792020006,3.790900038271284,3.5630376021640586,2.2542966780619733,2.8078413935909,3.432462689585388,0.681824992702168,9.91831754878101,1.7596632413976019,-2.296272170050477,1.5007113445551576,-0.3055952988319424,1.9646264000445455,10.8818403747109,0.3734115039890435,1.3915511525199893
LizAtlas.L_PMd,-0.18267984442950458,-1.2410707308300204,6.511938578062461,3.8315114692082264,2.061272207475958,6.409289582559929,1.2286306954574422,,9.389972120747629,6.919919745740859,0.2739129335526664,3.743787012478924,3.585129851149733,-1.479144182848113,-1.0881455017783705,4.272681248376216,2.093951258853161,1.510703935335816,5.3350219685940425,1.1741249089475378,13.252912051945032,3.766211502873491,7.3040703234796265,0.5736523255818199,2.5217693969684167,1.629610334643962,0.2505372879583339,0.9917724643669945
LizAtlas.L_PMv,-4.3743471476586855,-2.0793724588281313,-0.392527996198152,3.3380511675579863,-0.248611476080568,0.11396659711387529,-5.160919455124448,9.38997212074763,,0.4304218460743203,1.6336008336103867,3.1866161556755093,2.309667871330137,-5.454192853133578,-1.9978662624359573,-2.8901308014506664,1.8208040912716608,-1.3584254431111293,3.088552044450469,-2.383045846866999,2.7564011217453976,9.40357152262516,0.23265895285704835,0.24869765767800672,1.3447563853017408,0.5485965612999463,1.466444680559823,1.9183482548513429
LizAtlas.L_SMA,0.5750339714233355,1.4318719045822483,10.756197786909734,5.5847594801513285,2.2130615855823903,13.669360159687633,0.34478825472473074,6.919919745740859,0.4304218460743202,,0.17583381942101164,3.4238286458633884,3.5044867522944387,-1.7730038874364171,-0.2974553147831993,9.785997810653353,4.5144155348671875,1.5404137090552665,8.563045178630464,0.24750663411878052,8.410991945126383,2.1791825280258847,15.848681228933755,-0.5688479418098258,3.019687126207068,3.6804921536024118,-0.3061373277133847,-0.4350623768425026
LizAtlas.L_STN,-0.2207380454238923,-1.1041326821197504,-1.5463437236844646,0.17700778791193836,1.2470369572220104,-0.3928025596867185,0.23637071437110121,0.2739129335526662,1.633600833610386,0.17583381942101176,,2.97431854232403,-0.49345215983223073,-0.6366780634473165,0.7072018088078894,-1.8205848141380532,1.141622083571231,1.6822581280515359,-1.568158474489802,-0.4999191569365517,-1.3123856653695907,-1.0511080816971847,0.2947493661970324,2.3243702386505887,2.0810243247570157,-0.43553852760359757,-0.8837395297471747,-0.5409735498505178
LizAtlas.L_ThalVL,-0.6332666704376114,1.702021837535744,2.7936809496595854,3.5081573478049344,1.5791191090560488,3.4769070421168426,1.8947312640678977,3.7437870124789243,3.1866161556755093,3.423828645863388,2.974318542324029,,4.411024847933354,-0.8986495419039067,-0.1881187118083322,1.4556888225155935,1.7728805417453561,1.0166674730311234,1.1868488669201551,0.4631452578549571,0.6357719555827839,-0.2424904710529879,2.9171355161578245,1.0314100850447798,6.949995840997087,1.7896894171894282,0.19614365320216604,-2.0969871908995206
