,LizAtlas.L_BF_ch1-3,LizAtlas.L_CMA,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,LizAtlas.L_vPut,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL,LizAtlas.R_vPut,L_Amy_BL_Complex,R_Amy_BL_Complex,L_Amy_CEN_Complex,R_Amy_CEN_Complex,LizAtlas.L_BF_ch4
LizAtlas.L_BF_ch1-3,,0.04295012064917893,0.6827843131702475,0.0013353312122543247,0.0003272957512737817,0.9470422874704626,0.0025084468654557866,0.2020726524052274,0.6419112424602489,0.39261996448200415,0.16261603829232615,1.3693990588646727e-10,0.0017272554173193683,0.19781902219025646,0.10965812428649885,0.01406287028468465,0.02620375322925838,0.6284468860211404,0.004751542272115491,0.003372294705003556,0.3722913712653711,0.7860571101760883,0.11414584327746366,0.029758159767384978,0.08792165797718784,0.00036321517082291084,0.00033183718896140547,9.400167182409962e-05
LizAtlas.L_CMA,0.04295012064917893,,0.1108819799090966,4.218473166787245e-10,0.3499626790213276,3.7543527083578114e-05,0.4634704041179224,4.372416318302169e-09,0.11796513940935657,0.15842648115472796,0.006571517987542,0.31429772821950874,0.031857419072692975,2.7350925582407755e-13,0.8531106999425514,1.6777465977674665e-05,0.4251158562097549,9.327969501195161e-06,0.8998881256506649,1.1257031587075233e-12,0.6582965356584185,0.27066625485986245,0.0017272554173193683,0.0009732720618964918,0.015293679153541281,0.0008717900336432383,0.003061464277133779,0.017054266526726612
LizAtlas.L_GPi,0.6827843131702475,0.1108819799090966,,0.3050263200307053,0.03972865840893018,0.19628095820907793,0.7091247741900485,0.05410345148729198,0.48301023617459454,0.32348637978787054,0.02337299881687014,0.2812283706530069,0.14404658006133178,0.2365385496558671,0.0014746880185856593,0.8583779503335301,0.8180097035020047,0.4330186289682931,0.9265705580449446,0.2891781358400566,0.8844080129845207,0.1787859803034337,0.5949958754917243,0.9378411140376975,0.3499626790213276,0.20699483486816803,0.5514785498189364,0.0827551066889146
LizAtlas.L_M1_ul,0.0013353312122543247,4.218473166787245e-10,0.3050263200307053,,0.3402571885315159,6.128230911755737e-05,0.6677846156919526,1.955195268428584e-11,0.5528015986093847,0.05410345148729198,0.43584839778299184,0.4783824136532488,0.1108819799090966,6.904604323684646e-07,0.2020726524052274,2.0235402503309921e-10,0.9378411140376975,0.002770528367554604,0.07545886076730521,2.0235402503309921e-10,0.8529141578575498,0.43584839778299184,0.7750047838505604,0.022488077433695543,0.02957120239868282,4.0371801676224645e-07,4.917420770758079e-05,0.0005315273216124829
LizAtlas.L_NAc,0.0003272957512737817,0.3499626790213276,0.03972865840893018,0.3402571885315159,,0.7091247741900485,2.319366263403566e-05,0.9378411140376975,0.7668412672071939,0.3402571885315159,4.42549968542026e-09,0.0023020968758806965,0.0009636378584607077,0.05029079282133,0.0023298470281009594,0.46765534152974364,9.048514169369405e-09,0.852083791240215,0.053027643099507464,0.5315429910352097,0.9155188101196259,0.3892654272037134,2.706144663965092e-10,0.2891781358400566,0.09904375584576296,0.09178274109292389,0.2584160611951157,7.883719856265959e-05
LizAtlas.L_PMd,0.9470422874704626,3.7543527083578114e-05,0.19628095820907793,6.128230911755737e-05,0.7091247741900485,,9.048514169369405e-09,1.233519068555095e-05,0.7379148331030904,0.01386462758426865,0.09344046218791838,0.3486038186615662,0.5608934666995726,0.002806738485191429,0.39413494654630515,0.00028084887263394665,0.37427084216798295,2.9448860965336784e-11,0.0034470377731494603,1.9601974815602593e-06,0.7091247741900485,0.0275203767480185,0.6716593771309598,0.8583779503335301,0.48997810773812217,0.9668407792007752,0.8583779503335301,0.312602653792603
LizAtlas.L_PMv,0.0025084468654557866,0.4634704041179224,0.7091247741900485,0.6677846156919526,2.319366263403566e-05,9.048514169369405e-09,,0.7931339072926729,0.09959302706418675,0.01563238685416367,0.917429159802911,4.3209214574820984e-05,0.13347288229499654,0.006748102960895175,0.2911586534937962,0.09608008882388054,0.06310166216977749,0.036837831712569095,1.3337505226664074e-08,0.6829676554455978,0.9697575133428866,0.22503398258608706,0.2020726524052274,0.4590503475571507,0.3373493922938998,0.9768686293884011,0.4438262591362332,0.13347288229499654
LizAtlas.L_SMA,0.2020726524052274,4.372416318302169e-09,0.05410345148729198,1.955195268428584e-11,0.9378411140376975,1.233519068555095e-05,0.7931339072926729,,0.852083791240215,0.14008915871790184,0.4330186289682931,0.8936029197789677,0.2020726524052274,1.8380499190203128e-08,0.10965812428649885,3.8728638833748565e-08,0.8168893925972822,2.0804902457956553e-07,0.3174391095741917,9.659871899757697e-13,0.6829676554455978,0.09576661758241357,0.22543644286208997,0.1959499924354931,0.10037602581362177,0.0025084468654557866,0.0008430373742483783,0.0389653197091578
LizAtlas.L_STN,0.6419112424602489,0.11796513940935657,0.48301023617459454,0.5528015986093847,0.7668412672071939,0.7379148331030904,0.09959302706418675,0.852083791240215,,0.04502858729617227,0.648451331192005,0.4438262591362332,0.851381550612583,0.07651859932738522,0.19806773889951576,0.1576042217262024,0.7931339072926729,0.2074037712335379,0.32819266258790497,0.8804657977797108,0.07184854102490974,0.10004200301547106,0.5529824245722194,0.47122063422137467,0.47122063422137467,0.7860571101760883,0.4900971985386935,0.3324086593925584
LizAtlas.L_ThalVL,0.39261996448200415,0.15842648115472796,0.32348637978787054,0.05410345148729198,0.3402571885315159,0.01386462758426865,0.01563238685416367,0.14008915871790184,0.04502858729617227,,0.031751269607036454,0.3402571885315159,0.3701622478779506,0.6113658352122406,0.7565755670692119,0.8587892481663896,0.7091247741900485,0.7186785401680122,0.7860571101760883,0.18292729930463825,0.42944113138366113,4.0059080964642035e-06,0.7860571101760883,0.3701622478779506,0.03353049996920596,0.05029079282133,0.28413225998125663,0.6687074226586917
