,LizAtlas.L_BF_ch1-3,LizAtlas.L_CMA,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,LizAtlas.L_vPut,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL,LizAtlas.R_vPut,L_Amy_BL_Complex,R_Amy_BL_Complex,L_Amy_CEN_Complex,R_Amy_CEN_Complex,LizAtlas.L_BF_ch4
LizAtlas.L_BF_ch1-3,,2.577743607543477,0.5657852646898239,4.164354791086893,4.749319834691917,-0.08293470403488899,-3.8780615057129055,1.6340030669354926,-0.6364668340603346,-1.1161081792082426,1.7869446846337327,11.802752774016561,4.0505392983564095,1.660774011193531,2.033594612676259,3.1229794571470544,2.8207465645150323,0.6565057783664405,-3.590096792508604,3.7333587884781645,1.1627920023334704,-0.38712568084505455,2.003435246367211,2.757718098848612,2.1772047706064117,4.699937139520456,4.738838455070296,5.230257894665652
LizAtlas.L_CMA,2.577743607543477,,2.0228525703686775,11.06135182469975,1.2198299902142982,5.628477494800291,-0.9596161170769464,9.797579224445983,-1.9847253656995583,1.8081974154217164,3.4530240712784463,1.3226087174801477,2.7225483995230317,16.40425475978683,0.25428525780851463,5.959772149899028,1.0541354179321838,6.228970349323818,-0.16963868565899562,15.047971982109038,-0.6075221695652776,1.443458033552382,4.049303915211158,4.287657810958496,3.077515259548747,4.3383475032672685,3.7819929094288467,3.017492308764142
LizAtlas.L_GPi,0.565785264689824,2.0228525703686775,,1.3494535592620405,2.615702914184979,1.6675316824963384,-0.5100531098059136,2.4491011667472904,0.9081360824739934,1.300170616489811,2.8748308195574315,1.4162314658297839,1.861817186901518,1.5248750662037602,4.117848435168068,-0.2404318213462703,0.3281618342857111,1.0333467584364842,-0.12735033300286178,1.3923124371664712,-0.19484538472510868,1.7298835382008504,0.7109086370806331,-0.10901516307771202,-1.2162159907942414,1.6184605183902225,0.7852556700063319,2.2082416879522935
LizAtlas.L_M1_ul,4.164354791086891,11.06135182469975,1.3494535592620405,,1.2530112781192666,5.407365389818594,-0.5927910960379711,13.228252257570908,-0.780897234722931,2.441320001453515,1.0218252968937858,0.9224152269941447,2.0248304044753147,7.3098873068617785,1.635348509539153,11.508337833127364,-0.1011634862852197,3.832662975799026,-2.262236843827317,11.5505156144573,-0.2574795120736903,1.0226573359685813,0.410342795045296,2.894099120940973,2.7635954845596364,7.546908451621325,5.508007453737749,4.552934676058642
LizAtlas.L_NAc,4.749319834691917,1.2198299902142982,2.6157029141849795,1.2530112781192668,,0.511033710427876,-5.8301978221893425,0.10077500095557891,0.42313158991260336,1.2487301070478356,9.768423753402844,3.923241106453539,4.296093407108402,2.488535587468603,3.9144569598119348,0.9468869218826618,9.419067858699886,0.2661997157387876,-2.4621631727413633,0.8156114917292377,-0.1472449418939932,1.1241662370516419,11.320463019492326,1.392579453803217,2.1042580549315186,2.154238510210653,1.472486300361313,5.301588798250007
LizAtlas.L_PMd,-0.08293470403488888,5.628477494800291,1.667531682496339,5.407365389818594,0.5110337104278762,,9.399818565914172,6.09873935292619,0.46704992349138896,3.132231470070082,2.140183602966272,-1.2291083757834214,-0.7621579214127139,3.823085625366967,1.1111250548143436,4.811691354588067,1.1569289167753483,12.780341248098956,3.7210290869372895,6.8861643170848295,0.5205981003284456,2.797000863369369,0.5825247572454761,0.24210974179273728,0.8953719131490407,-0.05167580887003352,-0.23893396667213407,-1.3283869596473195
LizAtlas.L_PMv,-3.878061505712906,-0.9596161170769464,-0.5100531098059132,-0.5927910960379714,-5.830197822189341,9.39981856591417,,-0.37022511177567713,2.0988575485872025,3.059557225916412,0.14178253837183338,-5.56277974236492,-1.9131892607911254,-3.4368836133839062,-1.3857625774284672,2.121442009194438,-2.363795215912173,2.6544123446938874,9.187460439521551,-0.5601724009337063,0.044761889713160925,1.5601226660669714,-1.6368328423868268,0.9705623149706967,1.2638956950207325,-0.032535517333227744,-1.0063861387646622,-1.9146009972203177
LizAtlas.L_SMA,1.6340030669354926,9.79757922444598,2.4491011667472904,13.228252257570901,0.10077500095557898,6.0987393529261915,-0.3702251117756769,,-0.26440618084352946,1.8784618492924867,1.0314430802014871,0.1804557034102169,1.6366472901691862,9.02757410872532,2.036023320457187,8.669353607154191,0.33360932185340836,7.851535785984211,1.3140973273167738,15.323746523935656,-0.5605556595075004,2.1257778146921575,1.556618417824849,1.6710277755213114,2.086891667753541,3.878939089465912,4.355715762975281,2.6271906827609914
LizAtlas.L_STN,-0.636466834060335,-1.9847253656995583,0.9081360824739935,-0.780897234722931,0.4231315899126035,0.46704992349138874,2.098857548587203,-0.26440618084352924,,2.5490877897532354,-0.6227699868614873,-1.0044832324885393,0.271178551200373,-2.2501201010703618,1.6575228308915282,-1.8134923403497565,-0.3683303697073004,-1.614862447738249,-1.2863437557014106,-0.20272731087465679,2.296237561373413,2.0937549148665138,-0.775598831832126,-0.9371755692937962,-0.9355877928457113,-0.3860134104331002,-0.8927293291818363,-1.276033662744363
LizAtlas.L_ThalVL,-1.1161081792082426,1.8081974154217164,1.300170616489811,2.441320001453515,1.248730107047836,3.132231470070082,3.059557225916412,1.8784618492924867,2.549087789753236,,2.727153263743669,-1.2506907783758623,-1.1689262590504492,0.6840593255959111,0.4413079738719568,0.23546772988705844,0.5176109700918966,0.4936912150049448,-0.3826761007045585,1.7152566179287398,1.0442983084132618,6.588660751381526,-0.3829143719439159,-1.1693009589345242,-2.697670900489815,-2.49155559624069,-1.4076994437052912,-0.5889441384892483
LizAtlas.L_vPut,1.7869446846337331,3.4530240712784463,2.8748308195574315,1.0218252968937853,9.768423753402844,2.1401836029662724,0.14178253837183297,1.031443080201487,-0.6227699868614873,2.727153263743669,,1.6804324423156467,5.718391107123473,2.967561544810203,1.5954389482875038,1.6058629481512021,8.21690312043679,0.39618012125667385,-0.9458825416729174,0.9117943660481728,0.6951998181233783,-0.05202483392522586,18.706291819276533,3.0937877559567406,2.316825202384301,3.0752266946398694,3.9339330280716753,6.174561232189612
LizAtlas.R_BF_ch1-3,11.802752774016563,1.3226087174801482,1.416231465829784,0.9224152269941447,3.9232411064535384,-1.2291083757834214,-5.56277974236492,0.18045570341021713,-1.0044832324885395,-1.2506907783758623,1.6804324423156467,,4.4477370629729505,-0.23153397043318777,2.2851667942587404,1.2619492166922806,6.297518840836864,-1.0312134371144706,-2.9433730368628894,0.7593722519972316,1.2868648374876164,-1.151221930226051,2.3380464026717576,3.310272028817577,6.628482767020753,5.476608903068135,8.24375337122035,3.995798761558851
LizAtlas.R_BF_ch4,4.0505392983564095,2.7225483995230317,1.861817186901518,2.0248304044753147,4.296093407108404,-0.7621579214127141,-1.9131892607911252,1.6366472901691864,0.2711785512003732,-1.1689262590504488,5.718391107123473,4.44773706297295,,1.5495468917227195,5.434335876928077,2.0912126278059704,3.717371281119398,-1.3798003489251125,-1.7908526860569607,1.9701842993538554,1.34810782125558,-0.9687840818157574,6.010602697457677,5.563641095080622,6.161937656140692,8.397358962164002,10.416424905348395,10.140991813501657
