,L_Amy_BL_Complex,L_Amy_CEN_Complex,LizAtlas.L_BF_ch1-3,LizAtlas.L_BF_ch4,LizAtlas.L_CMA,LizAtlas.L_dPut,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,R_Amy_BL_Complex,R_Amy_CEN_Complex,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_dPut,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL
L_Amy_BL_Complex,,3.3169982880007904e-11,0.030077299189373234,2.2514892312654977e-05,0.0006625614970107102,0.6348816644856644,0.7608048499905775,0.021632941262014156,0.4177056484912016,0.906374663893919,0.35842765738221655,0.21786094182763843,0.5813905331738637,0.3313941117004768,1.5398682958415794e-08,1.9363228582940328e-07,0.01279442376855521,5.039612223875724e-05,0.06404499057956808,0.92734781698387,0.3951362041633763,0.03905050571746309,0.4921711698443392,0.9008415309208821,0.5191956366562299,0.10269874330822203,0.3255300710238704,0.2972792578075842
L_Amy_CEN_Complex,3.3169982880007904e-11,,0.0005195790590012957,5.0086540635655677e-11,0.0021063755210125,0.9918424919772801,0.23642327055590884,6.499816455147409e-06,0.3492076322547001,0.9212177921416028,0.8032875555580337,0.0048232007803907006,0.7559583712204411,0.04765033061710014,2.2018791315728093e-08,7.117486588179859e-09,0.00013946143163066053,1.9363228582940328e-07,0.08152339279157053,0.5146747145540005,0.07848402873513463,1.8217871841860796e-05,0.22262258468231388,0.4407641127794044,0.45016534804339076,0.0013402916807951448,0.9671374399004797,0.061588488549779094
LizAtlas.L_BF_ch1-3,0.030077299189373234,0.0005195790590012957,,0.00014785012420710412,0.08707604192303411,0.29692591653851985,0.6868232617449919,0.005613034434062299,0.00044989685693000133,0.7214162200678572,0.0006090998930512699,0.3665225995689227,0.7480018106189936,0.22262258468231388,0.08707604192303411,0.0002681737587838757,1.4550918905776258e-10,0.0015060002118983701,0.3665225995689227,0.2704595153168236,0.19563138211195658,0.024414924106188368,0.021241175615422055,0.9212177921416028,0.007634923681697743,0.024274181997067365,0.36213996435294343,0.7907609195018509
LizAtlas.L_BF_ch4,2.2514892312654977e-05,5.0086540635655677e-11,0.00014785012420710412,,0.1362795595946824,0.7369898623245319,0.1905806027752857,0.0023978133375826545,0.007431308467888102,0.23016806301183163,0.23016806301183163,0.10185129948278757,0.45016534804339076,0.660078600212071,0.0001779883065381136,3.831436260330672e-07,0.0024667788683240114,6.906306439233782e-09,0.5279633361927263,0.9212177921416028,0.02104015840884733,0.026743028585516075,0.05820339588107413,0.06771515108479274,0.4921711698443392,0.22262258468231388,0.8010436516839471,0.01279442376855521
LizAtlas.L_CMA,0.0006625614970107102,0.0021063755210125,0.08707604192303411,0.1362795595946824,,0.11571280139412354,0.16363063574374162,2.344511196058534e-10,0.9212177921416028,3.281148990522818e-05,0.6729583053566136,3.278888198288971e-09,0.12777159073565678,0.16130797204450287,0.02097796553974885,0.006925098789622185,0.5191956366562299,0.286740845077497,7.744096087229654e-13,0.36930328504581167,0.9707871153586042,1.7264612395866378e-05,0.9212177921416028,9.468946079260287e-06,0.9212177921416028,7.744096087229654e-13,0.5736816041098257,0.2708823419099475
LizAtlas.L_dPut,0.6348816644856644,0.9918424919772801,0.29692591653851985,0.7369898623245319,0.11571280139412354,,0.7031162306706743,0.006925098789622185,0.00022740933592727667,0.08152339279157053,0.0023978133375826545,0.0006460441415750457,0.6268337922935696,0.024260500390552046,0.2834053672631239,0.2222203463110613,0.17224849773321166,0.3107330357949745,0.570144986340244,7.744096087229654e-13,0.6724768553896526,0.4651929644856738,0.00015864763117362513,0.45016534804339076,0.08138764451721214,0.005613034434062299,0.929356220739765,0.6505130381909899
LizAtlas.L_GPi,0.7608048499905775,0.23642327055590884,0.6868232617449919,0.1905806027752857,0.16363063574374162,0.7031162306706743,,0.36844586872806495,0.06033257818699863,0.196157840410532,0.5836729758048291,0.09588744418800851,0.5911168106173,0.42344121229084597,0.3499108576649689,0.6268337922935696,0.20443477529573192,0.34970169308845994,0.2704595153168236,0.3951362041633763,0.0005462730492628614,0.9212177921416028,0.8911242055506988,0.2881588901632465,0.92734781698387,0.3971573899715405,0.929356220739765,0.25790947496906247
LizAtlas.L_M1_ul,0.021632941262014156,6.499816455147409e-06,0.005613034434062299,0.0023978133375826545,2.344511196058534e-10,0.006925098789622185,0.36844586872806495,,0.6245048849615826,3.203219769088632e-05,0.9918424919772801,9.877904985661231e-12,0.6245048849615826,0.0250863567092623,0.025923861101915996,0.0006177248136537927,0.6245048849615826,0.3499108576649689,3.9590517995193045e-07,0.10185129948278757,0.2708823419099475,2.3410950333937247e-10,0.36844586872806495,0.002234407996462378,0.14089041337900923,1.4550918905776258e-10,0.79097295782114,0.34503927262716344
LizAtlas.L_NAc,0.4177056484912016,0.3492076322547001,0.00044989685693000133,0.007431308467888102,0.9212177921416028,0.00022740933592727667,0.06033257818699863,0.6245048849615826,,0.9173726436322617,1.5157519449582324e-06,0.3499108576649689,0.6837210459672142,0.44729914672111687,0.22829493537006548,0.6377994538589304,0.0016617970468737588,0.04857396758093177,0.35178289149017644,2.2035558230799708e-05,0.010324727652718942,0.891301915718135,2.0763315951425698e-08,0.8047172546713821,0.009662650467955058,0.9212177921416028,0.7270554883293495,0.43736966960755747
LizAtlas.L_PMd,0.906374663893919,0.9212177921416028,0.7214162200678572,0.23016806301183163,3.281148990522818e-05,0.08152339279157053,0.196157840410532,3.203219769088632e-05,0.9173726436322617,,1.5398682958415794e-08,6.323177567069772e-06,0.9212177921416028,0.011117794607288498,0.6222114112953188,0.7904459194822313,0.33024080813127354,0.33024080813127354,0.0015542682475885815,0.989007382658792,0.43585298289286634,0.0002460007447842171,0.6268337922935696,3.092217544057109e-11,0.0021021325278752665,3.1759841063540817e-06,0.9066397434883777,0.025425827062117115
LizAtlas.L_PMv,0.35842765738221655,0.8032875555580337,0.0006090998930512699,0.23016806301183163,0.6729583053566136,0.0023978133375826545,0.5836729758048291,0.9918424919772801,1.5157519449582324e-06,1.5398682958415794e-08,,0.9897765002843566,0.23016806301183163,0.013185333935388564,0.22741339490494727,0.6592271495563081,5.180568621755568e-05,0.10218818126139245,0.013185333935388564,0.21786094182763843,0.2685023779424589,0.03334507337754065,0.019827812468254345,0.040938544523253476,7.288204213683818e-09,0.9774396464065412,0.9255816437913629,0.2704595153168236
LizAtlas.L_SMA,0.21786094182763843,0.0048232007803907006,0.3665225995689227,0.10185129948278757,3.278888198288971e-09,0.0006460441415750457,0.09588744418800851,9.877904985661231e-12,0.3499108576649689,6.323177567069772e-06,0.9897765002843566,,0.989007382658792,0.08641443867830827,0.14774069711022764,0.0029392981209462017,0.8875783859160533,0.7031162306706743,1.5398682958415794e-08,0.013613671883834834,0.1790023427300474,4.270198829746736e-08,0.4921711698443392,3.5606889237431004e-07,0.22329070263330175,7.744096087229654e-13,0.5012637457682798,0.07760410319963958
LizAtlas.L_STN,0.5813905331738637,0.7559583712204411,0.7480018106189936,0.45016534804339076,0.12777159073565678,0.6268337922935696,0.5911168106173,0.6245048849615826,0.6837210459672142,0.9212177921416028,0.23016806301183163,0.989007382658792,,0.053988215832870605,0.5254857239731782,0.4177056484912016,0.4021203694309652,0.79097295782114,0.09824835169192857,0.21786094182763843,0.2708823419099475,0.196157840410532,0.8705105611336197,0.1903540177907809,0.3900008223888878,0.9974037751464049,0.08777802997309658,0.09588744418800851
LizAtlas.L_ThalVL,0.3313941117004768,0.04765033061710014,0.22262258468231388,0.660078600212071,0.16130797204450287,0.024260500390552046,0.42344121229084597,0.0250863567092623,0.44729914672111687,0.011117794607288498,0.013185333935388564,0.08641443867830827,0.053988215832870605,,0.04931232700503836,0.2796677105418031,0.35842765738221655,0.3499108576649689,0.6268337922935696,0.4287909081833851,0.660078600212071,0.8262061521610572,0.9212177921416028,0.5944424209992191,0.932043540277428,0.10147178221981665,0.3381808248527285,2.9721296766532635e-06
R_Amy_BL_Complex,1.5398682958415794e-08,2.2018791315728093e-08,0.08707604192303411,0.0001779883065381136,0.02097796553974885,0.2834053672631239,0.3499108576649689,0.025923861101915996,0.22829493537006548,0.6222114112953188,0.22741339490494727,0.14774069711022764,0.5254857239731782,0.04931232700503836,,3.278888198288971e-09,1.7809587856520767e-05,3.8203011289250344e-05,0.0952235639113884,0.9066397434883777,0.6200531091950583,0.018835473969503656,0.6268337922935696,0.7991218789956527,0.3499108576649689,0.024274181997067365,0.7907609195018509,0.21786094182763843
R_Amy_CEN_Complex,1.9363228582940328e-07,7.117486588179859e-09,0.0002681737587838757,3.831436260330672e-07,0.006925098789622185,0.2222203463110613,0.6268337922935696,0.0006177248136537927,0.6377994538589304,0.7904459194822313,0.6592271495563081,0.0029392981209462017,0.4177056484912016,0.2796677105418031,3.278888198288971e-09,,5.913856871219209e-07,1.5353934912349065e-09,0.2796677105418031,0.25790947496906247,0.01100694193952793,0.0023978133375826545,0.35329026564009436,0.79097295782114,0.8666780856094092,0.013185333935388564,0.29165488372770443,0.09702300576276277
LizAtlas.R_BF_ch1-3,0.01279442376855521,0.00013946143163066053,1.4550918905776258e-10,0.0024667788683240114,0.5191956366562299,0.17224849773321166,0.20443477529573192,0.6245048849615826,0.0016617970468737588,0.33024080813127354,5.180568621755568e-05,0.8875783859160533,0.4021203694309652,0.35842765738221655,1.7809587856520767e-05,5.913856871219209e-07,,0.00258705956950017,0.6627844076191329,0.02963645720815223,0.08152339279157053,0.3317283950799906,1.1923352883349997e-06,0.40817827989516303,0.01475382616262424,0.824663306432611,0.35329026564009436,0.33240103636249996
