,L_Amy_BL_Complex,L_Amy_CEN_Complex,LizAtlas.L_BF_ch1-3,LizAtlas.L_BF_ch4,LizAtlas.L_CMA,LizAtlas.L_dPut,LizAtlas.L_GPi,LizAtlas.L_M1_ul,LizAtlas.L_NAc,LizAtlas.L_PMd,LizAtlas.L_PMv,LizAtlas.L_SMA,LizAtlas.L_STN,LizAtlas.L_ThalVL,R_Amy_BL_Complex,R_Amy_CEN_Complex,LizAtlas.R_BF_ch1-3,LizAtlas.R_BF_ch4,LizAtlas.R_CMA,LizAtlas.R_dPut,LizAtlas.R_GPi,LizAtlas.R_M1_ul,LizAtlas.R_NAc,LizAtlas.R_PMd,LizAtlas.R_PMv,LizAtlas.R_SMA,LizAtlas.R_STN,LizAtlas.R_ThalVL
L_Amy_BL_Complex,,12.675216731254826,2.783148282660942,5.893891065787324,4.492088989138615,-0.6667455658188713,-0.45588476957903606,2.9589453575597,1.0843377155154046,0.2172530382709768,1.2218793839315243,1.6725635681917288,-0.778637468147092,-1.3140387454530824,9.177115044810522,7.973484329884413,3.214252550068555,5.55244180812758,2.409889015279758,-0.13891497276287967,1.1344925357559879,2.658969910637549,0.9329314783307759,-0.22691827152017247,0.8829923881268599,2.1215728207793014,-1.3353643151647796,-1.3995952913574146
L_Amy_CEN_Complex,12.675216731254826,,4.611152491496151,12.38867290874261,4.002010686079235,0.020277993465289666,1.5883919355861216,6.420020659598028,1.2690562481530812,-0.165177428335471,0.3789917958737161,3.6494345349434556,-0.46456939216188164,-2.566520172797051,8.966151235036758,9.599249856853607,5.158018515448308,7.987136220099649,2.2806194377384723,-0.8927506201243235,2.3085492686165887,5.990586646501555,1.6433824118940281,-1.0292400241138087,-1.0047689334672285,4.202019498705102,0.07400522443444395,-2.4305757064951976
LizAtlas.L_BF_ch1-3,2.783148282660943,4.611152491496151,,5.129422280705922,2.2384848803901685,-1.4029454157464687,0.571552865717966,3.577840468012479,4.676779822955822,-0.5178009118751167,-4.540281688815323,1.198906246492044,-0.47701947321161325,-1.648969796481199,2.2397001711332836,4.875431989086645,11.722062516041033,4.153118525376234,1.1977088898995496,-1.4898891154122487,1.7492695455152585,2.891004763170481,2.970139269310358,0.1820293589655776,-3.4413703043626196,2.900219680347776,1.2103442415354704,-0.41306802802036824
LizAtlas.L_BF_ch4,5.893891065787322,12.388672908742612,5.129422280705922,,1.970400727445682,0.4932035765559487,1.7658058855464174,3.9385810118786466,3.4561003553904905,-1.6063454073043053,-1.6101214367000893,2.13448744507743,-1.0062813350695545,-0.6213381895779508,5.047043108957864,7.664350786575555,3.9189649952649193,9.639024068291919,0.863860569621709,0.16716023659783796,2.977766903243242,2.839155846251638,2.4655509392239,-2.381705858116402,-0.9298956433129157,1.6459632960980304,0.38457867448913263,-3.2133021237519035
LizAtlas.L_CMA,4.492088989138616,4.002010686079235,2.238484880390168,1.9704007274456823,,2.058750796859534,1.8644995364573795,11.392914557342683,-0.15579923808222598,5.728418011860507,-0.5943318449055128,10.011225854994528,-2.004879537219928,1.8776906037366738,2.9827457251886202,3.487810168722433,0.8812451440592954,1.4338576911416012,16.018335398886922,1.1853629361631852,-0.0662421215387989,6.028245709088156,-0.17286679701277358,6.266273592022119,-0.1592740479860874,15.303652059772109,-0.7941108434555635,1.477145629292513
LizAtlas.L_dPut,-0.6667455658188713,0.02027799346528954,-1.4029454157464687,0.49320357655594865,2.058750796859534,,-0.5466335227962287,3.4878656870356015,-4.949384532577614,2.2782853055118415,3.934259807131497,4.507029492091944,0.6800266963650446,2.9044497896692705,-1.443273230141541,-1.6557722580361331,-1.8355239533092171,-1.3683119699279747,0.801444981340979,15.281792667929528,-0.5976396818845773,0.9796154316186956,-5.096460128864072,1.0048256931460946,2.288734850086707,3.5786580370864423,-0.12796490050956666,0.641501405923286
LizAtlas.L_GPi,-0.45588476957903606,1.588391935586121,0.5715528657179654,1.7658058855464174,1.86449953645738,-0.5466335227962282,,1.191568616670063,2.443013478524281,1.742009325808869,-0.770331809414017,2.1795315592404756,0.7579158980989101,1.071348569737977,-1.2496116311064596,0.6889343631571241,1.717439629679284,1.2655632846186802,1.48736947911088,-1.134672769188869,4.586625018728291,-0.158302048905584,0.24768087527312072,1.428334209911347,-0.13891900311731661,1.128650473736471,-0.12703655003708425,1.5278134650449522
LizAtlas.L_M1_ul,2.9589453575597,6.420020659598027,3.577840468012479,3.9385810118786466,11.392914557342685,3.4878656870355997,1.191568616670063,,0.6987523295086369,5.745079656616596,-0.021025363329955665,13.616545321156202,-0.7002075715716555,2.876224997332845,2.8555720806655094,4.529349163875636,0.699377692451814,1.2497280259961367,7.637620138031845,2.1374430590363453,1.4811759180845934,11.434216184402278,-1.189351801234138,3.974936000074756,-1.9510462591014734,11.758811646580584,-0.40243560786258514,1.279030729864602
LizAtlas.L_NAc,1.0843377155154046,1.2690562481530812,4.676779822955822,3.4561003553904905,-0.15579923808222615,-4.949384532577614,2.4430134785242816,0.6987523295086366,,0.19169033200229874,-7.03878276532719,-1.2528741223211222,0.5781430830358694,1.016709891330032,1.6213537846038224,0.6603459548655729,4.10604823788237,2.554807817259981,1.2437428590782968,-5.910170048125187,3.3145773680369643,0.24202868278069115,9.010627885171427,-0.37437924187133836,-3.344840371319344,-0.16458176466597393,-0.5081184289408491,1.0395292616786591
LizAtlas.L_PMd,0.21725303827097692,-0.1651774283354711,-0.5178009118751168,-1.6063454073043055,5.728418011860507,2.2782853055118424,1.7420093258088694,5.745079656616596,0.1916903320022987,,9.162290571135856,6.440151409777229,0.16822849442378787,3.2771506946014677,0.7097532366809624,-0.41749710097385884,-1.3214341252210795,-1.3223322449791417,4.136207700469331,-0.03377015879088852,1.044491511337858,4.913788989511743,0.6893405996682851,12.786632811154462,4.007587602379889,6.716890894921168,0.2107249424642779,2.8671260831105556
LizAtlas.L_PMv,1.2218793839315243,0.378991795873716,-4.540281688815322,-1.6101214367000891,-0.5943318449055127,3.9342598071314976,-0.770331809414017,-0.021025363329955707,-7.03878276532719,9.162290571135857,,0.029498202540194998,1.6141199853553783,3.1920230116511585,1.6262573793211967,-0.6278079560750591,-5.534958633714546,-2.1299126074147625,-3.189494354524596,1.6766737777849716,-1.5012115539377384,2.7294834711490314,-3.0095535020958715,2.63537362234483,9.563887207893014,0.05473437232075857,0.14734441496088874,1.48895446428994
LizAtlas.L_SMA,1.6725635681917288,3.649434534943456,1.1989062464920437,2.13448744507743,10.01122585499453,4.507029492091944,2.1795315592404756,13.616545321156211,-1.2528741223211224,6.440151409777228,0.029498202540195265,,-0.03546036008686889,2.248353992604641,1.9245704721854884,3.8434200460606878,-0.25494303782913535,0.5458509742037906,9.19922873904798,3.1728458701548923,1.8099368807740477,8.660427679356715,-0.9303428147944419,7.708138116599513,1.6389453522796162,15.670131571863033,-0.9142965424234614,2.3169506526281243
LizAtlas.L_STN,-0.778637468147092,-0.4645693921618818,-0.4770194732116137,-1.0062813350695545,-2.004879537219928,0.680026696365045,0.7579158980989101,-0.7002075715716555,0.5781430830358687,0.16822849442378757,1.6141199853553783,-0.03546036008686908,,2.5019655100574774,-0.869889231207708,-1.082930980588171,-1.1180403997239623,0.4030649970707109,-2.1605635501521756,1.6694235002438473,1.4778619373192097,-1.7442756459058983,-0.27817280053910365,-1.7693746307256017,-1.1480157741379309,0.0032841529777365673,2.2284959850183332,2.178109767203667
LizAtlas.L_ThalVL,-1.3140387454530824,-2.5665201727970515,-1.6489697964811991,-0.6213381895779513,1.8776906037366736,2.9044497896692705,1.071348569737977,2.876224997332844,1.0167098913300325,3.277150694601468,3.1920230116511576,2.248353992604641,2.5019655100574774,,-2.5448885560969465,-1.4535722483442681,-1.2226800214936309,-1.2544372447393646,0.6825499225999183,1.060440564961514,0.622868919288882,0.33986068087687515,0.171705812919099,0.7509149475629461,-0.12057487185060156,2.142329339353058,1.29387984795166,6.752910635512503
R_Amy_BL_Complex,9.177115044810524,8.966151235036758,2.2397001711332836,5.047043108957863,2.9827457251886216,-1.4432732301415405,-1.2496116311064593,2.8555720806655094,1.6213537846038224,0.7097532366809625,1.626257379321197,1.9245704721854884,-0.869889231207708,-2.544888556096946,,10.010612956292153,6.00771593915739,5.6637294532184175,2.18757588056976,-0.21274277226683264,0.715202558676691,3.034263947916136,0.6802030066724556,0.38977570271133305,1.259405350316633,2.8969723811611847,-0.4113388606315667,-1.6692447537509758
R_Amy_CEN_Complex,7.973484329884412,9.599249856853605,4.875431989086645,7.664350786575555,3.487810168722433,-1.6557722580361334,0.6889343631571242,4.529349163875636,0.660345954865573,-0.4174971009738585,-0.627807956075059,3.8434200460606873,-1.082930980588171,-1.4535722483442681,10.010612956292153,,7.44954032153705,10.431974296858321,1.454513704222612,-1.5330895896637804,3.2851817046114187,3.935210960499775,1.235969844611246,-0.4051320998475352,-0.2857388497471148,3.1907803199206017,1.417015976872751,-2.169516938034077
LizAtlas.R_BF_ch1-3,3.214252550068555,5.158018515448308,11.722062516041035,3.9189649952649193,0.8812451440592952,-1.835523953309217,1.717439629679284,0.6993776924518138,4.10604823788237,-1.3214341252210797,-5.534958633714546,-0.2549430378291356,-1.1180403997239623,-1.222680021493631,6.007715939157392,7.44954032153705,,3.896403385967775,-0.6125380631172116,-2.7927888762104276,2.2805914306472816,1.3107938915251987,7.145127361604207,-1.1057326618109589,-3.1367584453553445,0.3446415122090911,1.2376535698903155,-1.306942214399259
LizAtlas.R_BF_ch4,5.552441808127583,7.987136220099649,4.153118525376232,9.639024068291919,1.4338576911416008,-1.3683119699279747,1.2655632846186802,1.2497280259961367,2.5548078172599804,-1.3223322449791415,-2.1299126074147634,0.5458509742037908,0.4030649970707108,-1.2544372447393646,5.6637294532184175,10.431974296858321,3.896403385967775,,0.6797301220164184,-1.0342921830865597,4.628574977398829,1.4160202105821,2.2331371674058236,-1.7851757521929414,-1.8742466425603257,1.2617464813920645,0.7710381349932852,-0.7804338977771167
